MAJOR;BUG;3;5;Комментарий должен начинаться с прописной буквы.
MAJOR;BUG;3;6;Комментарий содержит букву "ё".
MAJOR;BUG;3;7;Синоним содержит букву "ё".
MAJOR;BUG;3;8;Имя содержит букву "ё".
CRITICAL;SKIP;0;58;Имя неверно образовано из синонима.
MAJOR;BUG;3;59;Подсказка совпадает с синонимом.
MAJOR;BUG;3;60;Не заполнен синоним конфигурации.
MAJOR;BUG;3;61;В имени конфигурации запрещено использовать слова "редакция" или "подредакция".
CRITICAL;SKIP;0;62;Неверно указан адрес информации о поставщике. Должен быть "http://www.1c.ru".
CRITICAL;SKIP;0;63;Неверно указан адрес информации о конфигурации. Должен начинаться с "http://v8.1c.ru/".
CRITICAL;SKIP;0;64;Неверно указан адрес каталога обновлений. Должен быть "http://downloads.v8.1c.ru/tmplts/".
MAJOR;BUG;3;65;Использован метод "ПолучитьФорму()".
CRITICAL;BUG;30;66;Использована конструкция "ДЛЯ ИЗМЕНЕНИЯ".
MAJOR;BUG;3;67;Для конфигурации не установлен управляемый режим блокировки данных.
INFO;CODE_SMELL;3;68;Использована конструкция "ДанныеФормыВЗначение()".
MAJOR;BUG;3;69;Использован метод "Сообщить()".
INFO;CODE_SMELL;3;70;Использована конструкция "ПОЛНОЕ ВНЕШНЕЕ СОЕДИНЕНИЕ".
MAJOR;CODE_SMELL;3;71;Неверно установлен номер версии. Он не должен быть вида 0.0.0.0, N.0.0.0, N.0.N.0 или N.0.0.N.
MAJOR;BUG;3;72;Синоним должен оканчиваться на номер редакции.подредакции.
MAJOR;BUG;3;73;Рекомендуется избегать в названии общего модуля таких общих слов как "Процедуры", "Функции", "Обработчики", "Модуль", "Функциональность" и т.п.
MAJOR;BUG;3;75;Отсутствует обязательная конструкция "Если ОбменДанными.Загрузка Тогда ...".
MAJOR;BUG;3;76;Неверно указана информация об авторских правах. Должно начинаться с "Copyright © ООО "1С-Софт"".
MAJOR;BUG;20;78;Найдена экспортная процедура или функция в модуле формы.
MAJOR;CODE_SMELL;3;80;Общий модуль, доступный только на клиенте, должен именоваться с постфиксом "Клиент".
MAJOR;BUG;3;82;Не установлено свойство "Использовать управляемые формы в обычном приложении" для конфигурации.
MAJOR;CODE_SMELL;3;83;Глобальный общий модуль должен именоваться с постфиксом "Глобальный".
